KEY,en,notes,sp,fr,de,it,pt-br
ITEM_METALPLATE_DESC,Получите +1 Стойкость при убийстве врага.,,Obtiene +1 de refuerzo al matar a un enemigo.,Garde +1&nbsp;quand vous tuez un ennemi.,"Erhalte +1&nbsp;Wappnen, wenn du einen Gegner tötest.",Ottieni +1 alla Guardia quando uccidi un nemico.,Obtenha +1 de preparação ao matar um inimigo.
ITEM_METRONOME_NAME,Метроном,,Metrónomo,Métronome,Metronom,Metronomo,Metrônomo
ITEM_METRONOME_DESC,"Использование: Сотворите случайное улучшенное заклинание.
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Lanza un hechizo mejorado al azar.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: lance un sort amélioré aléatoire.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Wirke einen zufälligen verbesserten Zauber.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Lanci un incantesimo potenziato casuale.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: lance um encantamento aleatório aprimorado.
[s:.7](Um uso por batalha.)[/s]"
ITEM_MINDSTONE_NAME,Камень Разума,,Piedra mental,Pierre de l'esprit,Gedankenstein,Pietra della Mente,Pedra da Mente
ITEM_MINDSTONE_DESC,Ваши бесцветные заклинания стоят -2 маны.,,Los hechizos sin collar cuestan -2 de maná.,Vos sorts sans collier coûtent -2&nbsp;mana.,Deine klassenlosen Zauber kosten -2&nbsp;Mana.,Gli incantesimi dei senza collare costano -2 di mana.,Seus encantamentos sem coleira custam -2 de mana.
ITEM_MISSINGPOSTER_NAME,Постер о Пропаже,,Cartel de desaparecido,Avis de recherche,Vermisstenanzeige,Poster di Ricerca,Pôster de Pessoa Desaparecida
ITEM_MISSINGPOSTER_DESC,???,,¿?,???,???,???,???
ITEM_MOMSRING_NAME,Мамино Кольцо,,Anillo de mamá,Bague de maman,Mamas Ring,Anello della Mamma,Anel da Mamãe
ITEM_MOMSRING_DESC,+1 Урон. Находите таблетку в конце каждой битвы.,,+1 de daño. Encuentra una pastilla al final de cada combate.,Dégâts +1. Vous obtenez une pilule au début de chaque combat.,+1&nbsp;Schaden. Finde am Ende jedes Kampfes eine Pille.,+1 al Danno. Trovi una pillola alla fine di ogni battaglia.,+1 de dano. Encontre uma pílula no final de cada batalha.
ITEM_MOTHERSLOVE_NAME,Мамина Любовь,,Amor materno,Amour maternel,Mütterliche Liebe,Amore della Mamma,Amor de Mãe
ITEM_MOTHERSLOVE_DESC,+6 Регенерация Здоровья.,,+6 de regeneración de salud.,Régénération de PV +6.,+6&nbsp;Lebensregeneration.,+6 a Rigenerazione Salute.,+6 de regeneração de saúde.
ITEM_MULTIPLIER_NAME,Множитель,,Multiplicador,Multiplicateur,Multiplikator,Moltiplicatore,Multiplicador
ITEM_MULTIPLIER_DESC,Вы можете использовать оружие лишний раз каждый ход.,,Esta unidad puede usar el arma otra vez cada turno.,Vous pouvez utiliser votre arme une fois de plus à chaque tour.,Du kannst deine Waffe in jedem Zug ein weiteres Mal verwenden.,Puoi usare la tua arma una volta in più ogni turno.,Você pode utilizar sua arma uma vez adicional em cada turno.
ITEM_MUNDANESTONE_NAME,Обыденный Камень,,Piedra mundana,Pierre ordinaire,Banaler Stein,Pietra Ordinaria,Pedra Mundana
ITEM_MUNDANESTONE_DESC,Урон вашей базовой атаки увеличен на вашу самую низкую характеристику минус 2.,,El daño del ataque básico aumenta según el atributo más bajo menos 2.,Votre attaque de base inflige des dégâts bonus égaux à votre stat la plus faible moins 2.,Der Schaden deines Grundangriff wird um dein niedrigstes Attribut minus 2 erhöht.,Il danno del tuo attacco base aumenta della tua statistica più bassa meno 2.,O dano do seu ataque básico é aumentado pelo valor do seu menor atributo menos 2.
ITEM_MYSHADOW_NAME,Моя Тень,,Mi sombra,Doppelgänger,Mein Schatten,La Mia Ombra,Minha Sombra
ITEM_MYSHADOW_DESC,"Использование: Переместитесь на 3 клетки, оставив теневую копию, повторяющую вашу базовую атаку.
Тень исчезает в конце хода.",,"Uso: Se mueve 3 casillas y deja una sombra a su paso que copia su ataque básico.
La sombra se desvanece al final del turno.","Utilisation&nbsp;: déplacez-vous de 3&nbsp;cases en laissant derrière vous un double spectral qui copie votre attaque de base.
L'ombre disparaît à la fin du tour.","Benutzen: Bewege dich 3 Felder und hinterlasse einen Schattenklon, der deinen Grundangriff nachahmt.
Der Schatten verschwindet am Ende des Zuges.","Uso: Ti muovi di 3 caselle, lasciando dietro di te una copia ombra che imita il tuo attacco base.
L'ombra svanisce alla fine del turno.","Uso: mova-se 3 espaços, deixando para trás uma cópia sombria que copia seu ataque básico.
A sombra desaparece no final do turno."
ITEM_NATURAL20_NAME,Натуральная 20,,Natural 20,Lancer critique,Natürliche 20,20 Naturale,20 Natural
ITEM_NATURAL20_DESC,"Ваше оружие имеет +50% Шанс Крита.
Ваша базовая атака имеет +10% Шанс Крита.",,"Las armas tienen +50 % de probabilidad de crítico.
El ataque básico tiene +10 % de probabilidad de crítico.","Vos armes ont +50&nbsp;% de chances de coup critique.
Votre attaque de base a +10&nbsp;% de chances de coup critique.","Deine Waffen haben +50&nbsp;% kritische Trefferchance.
Dein Grundangriff hat +10&nbsp;% kritische Trefferchance.","Le tue armi hanno un +50% di probabilità di colpo critico.
Il tuo attacco base ha un +10% di probabilità di colpo critico.","Suas armas possuem +50% de chance de crítico.
Seu ataque básico possui +10% de chance de crítico."
ITEM_NEVERSTONE_NAME,Камень-Никогда,,Piedrajamás,Pierre de stagnation,Vergängnisstein,Pietra del Mai,Pedra do Nunca
ITEM_NEVERSTONE_DESC,Никогда не повышайте уровень.,,Nunca sube de nivel.,Vous empêche de monter de niveau.,Du kannst nicht aufleveln.,Non sali mai di livello.,Nunca suba de nível.
ITEM_NIGHTSHADE_NAME,Паслен,,Belladona,Morelle noire,Nachtschatten,Belladonna,Beladona
ITEM_NIGHTSHADE_DESC,"Когда вы накладываете Яд, наложите +2 Яда.
Начните с Ядом 2.",,"Al infligir veneno, esta unidad inflige +2 de veneno.
Empieza con 2 de veneno.","Au lieu d'infliger Poison, vous infligez Poison +2.
Vous débutez avec Poison +2.","Verursache +2&nbsp;Gift, wenn du Gift verursachst.
Beginne jeden Kampf mit Gift&nbsp;2.","Quando infliggi Veleno, infliggi +2 Veleno.
Inizi con Veleno 2.","Ao aplicar veneno, aplique +2 de veneno.
Inicie com veneno 2."
ITEM_NINNYSTICK_NAME,Палка Дурачка,,Bastón de bufón,Bâton ridicule,Narrenstab,Bastone dello Sciocco,Pauzinho
ITEM_NINNYSTICK_DESC,"Перебрасывайте другие экипированные предметы в конце каждой битвы.
Вы можете перебрасывать варианты при повышении уровня.",,"Cambia al azar los otros objetos equipados al final de cada combate.
Puede cambiar al azar las opciones al subir de nivel.","Tirer de nouvelles options pour vos autres objets équipés à la fin de chaque combat.
Vous pouvez tirer de nouvelles options quand vous montez de niveau.","Generiere deine anderen Ausrüstungsstücke am Ende jedes Kampfes neu.
Du kannst deine Auswahlmöglichkeiten neu generieren, wenn du ein Level aufsteigst.","Rilanci gli altri oggetti equipaggiati alla fine di ogni battaglia.
Puoi modificare le tue opzioni quando sali di livello.","Role novamente seus outros itens equipados no final de cada batalha.
Você pode rolar novamente suas opções ao subir de nível."
ITEM_OLDSHOE_NAME,Старый Ботинок,,Zapato viejo,Vieille pompe,Alter Schuh,Scarpa Vecchia,Sapato Velho
ITEM_OLDSHOE_DESC,,,,,,,
ITEM_PAWN_NAME,Пешка,,Peón,Pion,Bauer,Pedone,Peão
ITEM_PAWN_DESC,Использование: Переместитесь на 1 клетку к ближайшему врагу.,,Uso: Se mueve 1 casilla hacia el enemigo más cercano.,Utilisation&nbsp;: vous avancez d'1&nbsp;case vers l'ennemi le plus proche.,Benutzen: Bewege dich 1&nbsp;Feld auf den nächsten Gegner zu.,Uso: Ti muovi di 1 casella verso il nemico più vicino.,Uso: mova-se 1 espaço na direção do inimigo mais próximo.
ITEM_PENTAGRAMSIGIL_NAME,Печать Пентаграммы,,Sigilo del pentáculo,Pentagramme,Pentagrammsiegel,Sigillo del Pentagramma,Símbolo de Pentagrama
ITEM_PENTAGRAMSIGIL_DESC,Использование: Получите 5 урона и обновите базовую атаку и движение.,,Uso: Sufre 5 de daño y restaura el ataque básico y las acciones de movimiento.,Utilisation&nbsp;: vous subissez 5&nbsp;dégâts et vos actions d'attaque de base et de déplacement sont réinitialisées.,Benutzen: Erleide 5&nbsp;Schaden und frische deinen Grundangriff und deine Bewegungsaktion auf.,Uso: Subisci 5 di danno e ricarichi il tuo attacco base e le azioni di movimento.,Uso: sofra 5 de dano e reinicie suas ações de ataque básico e movimento.
ITEM_PETRIFIEDPINKY_NAME,Окаменелый Мизинец,,Rosita petrificada,Auriculaire pétrifié,Versteinerter Pinky,Topo Pinky Pietrificato,Mindinho Petrificado
ITEM_PETRIFIEDPINKY_DESC,"Если атака должна вырубить вас, предмет ломается, и вы восстанавливаете 50% макс ОЗ.",,"Si esta unidad cayera abatida con un ataque, el objeto se rompería y, en su lugar, recuperaría un 50 % de los PS máximos.","Si une attaque est censée vous mettre K.O., cet objet se brise et vous récupérez 50&nbsp;% de vos PV max.","Wenn du durch einen Angriff in Ohnmacht fallen würdest, geht stattdessen dieser Gegenstand kaputt und du erhältst 50&nbsp;% deiner LP wieder.","Un attacco, invece di metterti KO, si rompe e ti fa recuperare il 50% dei tuoi PS massimi.","Se um ataque for deixar você inconsciente, este item se quebra e você recupera 50% da sua saúde máxima."
ITEM_PETRIFIEDPOOP_NAME,Окаменелая Какашка,,Caca petrificada,Merde pétrifiée,Versteinertes Häufchen,Cacca Pietrificata,Cocô Petrificado
ITEM_PETRIFIEDPOOP_DESC,Призванные вами фамильяры получают +2 [img:shield].,,Los familiares generados obtienen +2 [img:shield].,Les familiers que vous invoquez gagnent [img:shield] +2.,"Begleiter, die du rufst, erhalten +2&nbsp;[img:shield].",I famigli che generi ottengono +2 allo [img:shield].,Familiares gerados por você obtêm +2 de [img:shield].
ITEM_PRAYERCARD_NAME,Молитвенная Карточка,,Carta de rezo,Carte de prière,Gebetskarte,Carta della Preghiera,Cartão de Oração
ITEM_PRAYERCARD_DESC,33% шанс получить +1 [img:divineshield] при получении урона.,,33 % de probabilidad de obtener +1 [img:divineshield] cada vez que esta unidad sufre daño.,33&nbsp;% de chances de gagner [img:divineshield] +1&nbsp;quand vous subissez des dégâts.,"33%ige Chance, +1&nbsp;[img:divineshield] zu erhalten, wenn du Schaden erleidest.",33% di probabilità di ottenere +1 allo [img:divineshield] ogni volta che subisci danno.,33% de chance de obter +1 de [img:divineshield] a cada vez que você sofre dano.
ITEM_PULLTAB_NAME,Колечко от Банки,,Anilla,Languette,Aufreißlasche,Linguetta,Anel de Lata
ITEM_PULLTAB_DESC,,,,,,,
ITEM_PURPLEDRINK_NAME,Фиолетовый Напиток,,Bebida morada,Boisson violacée,Lila Getränk,Bevanda Viola,Bebida Roxa
ITEM_PURPLEDRINK_DESC,"Использование: Исцелите 2 ОЗ, получите 2 маны и +1 [img:shield].
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Recupera 2 PS, obtiene 2 de maná y +1 [img:shield].
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: PV +2, mana +2, [img:shield] +1.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Heile dich um 2&nbsp;LP, erhalte 2&nbsp;Mana und +1&nbsp;[img:shield].
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Recuperi 2 PS, ottieni 2 mana e +1 allo [img:shield].
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: cure 2 PV, obtenha 2 de mana e +1 de [img:shield].
[s:.7](Um uso por batalha.)[/s]"
ITEM_QUEEN_NAME,Ферзь,,Reina,Reine,Dame,Regina,Rainha
ITEM_QUEEN_DESC,Использование: Двигайтесь на любое число клеток по прямой или диагонали.,,Uso: Se mueve cualquier cantidad de casillas en línea recta o en diagonal.,Utilisation&nbsp;: déplacez-vous de n'importe quel nombre de cases en ligne droite ou en diagonale.,Benutzen: Bewege dich beliebig in einer geraden oder diagonalen Linie.,Uso: Ti muovi di un numero qualsiasi di caselle in linea retta o diagonale.,Uso: mova-se qualquer quantidade de espaços em uma linha reta ou diagonal.
ITEM_RAGEJUICE_NAME,Сок Ярости,,Jugo rabioso,Élixir de rage,Wutsaft,Succo di Rabbia,Suco de Fúria
ITEM_RAGEJUICE_DESC,"Использование: Получите +4 [img:str], +4 [img:spd], Стойкость 2 и Безумие до конца битвы.
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Obtiene +4 [img:str], +4 [img:spd], 2 de refuerzo y locura durante el resto del combate.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: [img:str] +4, [img:spd] +4, Garde +2&nbsp;et Folie pour le reste du combat.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Erhalte für den Rest des Kampfes +4&nbsp;[img:str], +4&nbsp;[img:spd], Wappnen&nbsp;2 und Wahnsinn.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Ottieni +4 alla [img:str], +4 alla [img:spd], Guardia 2 e Follia per il resto della battaglia.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: obtenha +4 de [img:str], +4 de [img:spd], preparação 2 e insanidade pelo resto da batalha.
[s:.7](Um uso por batalha.)[/s]"
ITEM_RATBEZOAR_NAME,Крысиный Безоар,,Bezoar de rata,Bézoard de rat,Rattenbezoar,Bezoario di Ratto,Bezoar de Rato
ITEM_RATBEZOAR_DESC,Ядовитый 1.,,Inflige 1 de envenenamiento.,Toxique +1.,Giftig&nbsp;1.,Velenoso 1.,Venenoso 1.
ITEM_RATHEART_NAME,Крысиное Сердце,,Corazón de rata,Cœur de rat,Rattenherz,Cuore di Ratto,Coração de Rato
ITEM_RATHEART_DESC,,,,,,,
ITEM_RATTAIL_NAME,Крысиный Хвост,,Cola de rata,Queue de rat,Rattenschwanz,Coda di Ratto,Cauda de Rato
ITEM_RATTAIL_DESC,,,,,,,
ITEM_RAZORBLADE_NAME,Лезвие Бритвы,,Cuchilla de afeitar,Lame de rasoir,Rasierklinge,Lama di Rasoio,Lâmina de Navalha
ITEM_RAZORBLADE_DESC,Использование: Получите 5 урона и получите +2 [img:str] и +2 [img:dex].,,Uso: Sufre 5 de daño y obtiene +2 [img:str] y +2 [img:dex].,Utilisation&nbsp;: vous subissez 5&nbsp;dégâts et gagnez [img:str] +2&nbsp;ainsi que [img:dex] +2.,Benutzen: Erleide 5&nbsp;Schaden und erhalte +2&nbsp;[img:str] und +2&nbsp;[img:dex].,Uso: Subisci 5 di danno e ottieni +2 alla [img:str] e +2 alla [img:dex].,Uso: sofra 5 de dano e obtenha +2 de [img:str] e +2 de [img:dex].
ITEM_REDDRINK_NAME,Красный Напиток,,Bebida roja,Boisson rougeâtre,Rotes Getränk,Bevanda Rossa,Bebida Vermelha
ITEM_REDDRINK_DESC,"Использование: Исцелите 5 ОЗ.
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Devuelve 5 PS.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: rend 5&nbsp;PV.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Heile dich um 5&nbsp;LP.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Recuperi 5 PS.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: cure 5 PV.
[s:.7](Um uso por batalha.)[/s]"
ITEM_RINGOFFROST_NAME,Кольцо Мороза,,Anillo de escarcha,Anneau de givre,Ring des Frosts,Anello del Gelo,Anel de Gelo
ITEM_RINGOFFROST_DESC,"Замораживает тайлы под вами. +25% шанс заморозить юнитов, касающихся или атакующих вас.
Ваш Ледяной урон увеличен на 1.",,"Congela las casillas que pisa. +25 % de probabilidad de infligir congelación a las unidades que entren en contacto con esta unidad o que la ataquen.
El daño del elemento de hielo aumenta en 1.","Gèle les cases sur lesquelles vous passez. +25&nbsp;% de chances d'infliger Gel aux unités qui vous touchent ou vous attaquent.
Vos dégâts de glace augmentent de 1.","Friert Felder ein, über die du gehst. +25&nbsp;% Wahrscheinlichkeit, Einheiten einzufrieren, die dich berühren oder angreifen.
Dein Eisschaden ist um 1 erhöht.","Congela le caselle su cui cammini. +25% di probabilità di infliggere Congelamento alle unità che ti toccano o ti attaccano.
Il tuo danno di elemento ghiaccio aumenta di 1.","Congele espaços pelos quais você passa. +25% de chance de aplicar congelamento em unidades que atacam ou entram em contato com você.
Seu dano do elemento gelo é aumentado em 1."
ITEM_ROOK_NAME,Ладья,,Torre,Tour,Turm,Torre,Torre
ITEM_ROOK_DESC,Использование: Двигайтесь на любое число клеток по прямой.,,Uso: Se mueve cualquier cantidad de casillas en línea recta.,Utilisation&nbsp;: déplacez-vous de n'importe quel nombre de cases en ligne droite.,Benutzen: Bewege dich beliebig in einer geraden Linie.,Uso: Ti muovi di un numero qualsiasi di caselle in linea retta.,Uso: mova-se qualquer quantidade de espaços em uma linha reta.
ITEM_RUBBERCEMENT_NAME,Резиновый Клей,,Cemento de caucho,Colle caoutchouc,Gummizement,Cemento di Gomma,Cimento Emborrachado
ITEM_RUBBERCEMENT_DESC,Ваши снаряды отскакивают в другого врага в пределах 2 клеток.,,Los proyectiles rebotan en otro enemigo en un radio de 2 casillas.,Vos projectiles rebondissent sur un autre ennemi situé à moins de 2&nbsp;cases.,Deine Geschosse prallen ab und landen auf einem Gegner innerhalb von 2&nbsp;Feldern.,I tuoi proiettili rimbalzano su un altro nemico entro 2 caselle.,Seus projéteis ricocheteiam para qualquer inimigo dentro de 2 espaços de distância.
ITEM_SACKOFMEAT_NAME,Мешок Мяса,,Saco de carne,Gros paquet de viande,Sack Fleisch,Sacco di Carne,Saco de Carne
ITEM_SACKOFMEAT_DESC,"Использование: Исцелите 4 ОЗ.
Получает +1 использование при уничтожении трупа.",,"Uso: Devuelve 4 PS.
Obtiene +1 uso cada vez que destroza un cadáver.","Utilisation&nbsp;: rend 4&nbsp;PV.
Utilisation +1&nbsp;quand vous détruisez un cadavre.","Benutzen: Heile dich um 4&nbsp;LP.
Dieser Gegenstand erhält +1&nbsp;Anwendungen, wenn du eine Leiche zerstörst.","Uso: Recuperi 4 PS.
Ottiene +1 utilizzo ogni volta che distruggi un cadavere.","Uso: cure 4 PV.
Este item obtém +1 uso a cada vez que você destrói um corpo."
ITEM_SACREDHEART_NAME,Священное Сердце,,Corazón sagrado,Sacré-Cœur,Heiliges Herz,Cuore Sacro,Coração Sagrado
ITEM_SACREDHEART_DESC,+1 Урон. Выпускает 2 Искры при базовой атаке.,,+1 de daño. Emite 2 destellos al lanzar el ataque básico.,Dégâts +1. Émet 2&nbsp;étincelles quand vous utilisez votre attaque de base.,"+1&nbsp;Schaden. Versprühe 2&nbsp;Funken, wenn du deinen Grundangriff verwendest.",+1 al Danno. Emetti 2 Scintille quando usi il tuo attacco base.,+1 de dano. Emita 2 fagulhas ao utilizar seu ataque básico.
ITEM_SATANICBIBLE_NAME,Сатанинская Библия,,Biblia satánica,Bible satanique,Satanische Bibel,Bibbia Satanica,Bíblia Satânica
ITEM_SATANICBIBLE_DESC,"Лечит 3 ОЗ и дает +3 Заряда каждый раз, когда вы наносите урон члену группы.",,Esta unidad recupera 3 PS y obtiene +3 de carga cada vez que inflige daño a un miembro del grupo.,Rend 3&nbsp;PV et confère Charge +3&nbsp;quand vous infligez des dégâts à un membre de l'équipe.,"Heile dich um 3&nbsp;LP und erhalte jedes Mal, wenn du einem Verbündeten Schaden zufügst, +3&nbsp;Ladung.",Recuperi 3 PS e ottieni +3 Carica ogni volta che infliggi danno a un membro del gruppo.,Cure 3 PV e obtenha +3 cargas a cada vez que causar dano a um membro da sua equipe.
ITEM_SCORCHEDEARTH_NAME,Выжженная Земля,,Tierra quemada,Terre brûlée,Verbrannte Erde,Terra Bruciata,Terra Arrasada
ITEM_SCORCHEDEARTH_DESC,Ваши заклинания Земли и Огня стоят -1 ману.,,Los hechizos de fuego y de tierra cuestan -1 de maná.,Vos sorts de terre et de feu coûtent -1&nbsp;mana.,Deine Erd- und Feuerzauber kosten -1&nbsp;Mana.,I tuoi incantesimi di elemento terra e fuoco costano -1 mana.,Seus encantamentos do elemento terra e fogo custam -1 de mana.
ITEM_SCRAPBAG_NAME,Мешок Лома,,Bolsa de chatarra,Sac de ferraille,Schrottbeutel,Sacco di Rottami,Saco de Sucata
ITEM_SCRAPBAG_DESC,"Создайте временное оружие в начале битвы, если у вас его нет.",,Fabrica un arma temporal al inicio del combate si esta unidad va desarmada.,Fabrique une arme temporaire au début du combat si vous n'en avez pas.,"Stelle am Anfang des Kampfes eine vorübergehende Waffe her, wenn du keine Waffe ausgerüstet hast.",Se non hai un'arma ne creai una temporanea all'inizio della battaglia.,"Fabrique uma arma temporária no início da batalha, caso você não possua uma arma."
ITEM_SELFDESTRUCTBUTTON_NAME,Кнопка Самоуничтожения,,Botón de autodestrucción,Bouton d'autodestruction,Selbstzerstörungsknopf,Pulsante di Autodistruzione,Botão de Autodestruição
ITEM_SELFDESTRUCTBUTTON_DESC,Использование: Испарите себя и нанесите 50 урона соседним юнитам.,,Uso: Se volatiliza e inflige 50 de daño a las unidades adyacentes.,Utilisation&nbsp;: vous vous suicidez et infligez 50&nbsp;dégâts aux unités adjacentes.,Benutzen: Verdampfe und verursache 50&nbsp;Schaden bei benachbarten Einheiten.,Uso: Ti vaporizzi e infliggi 50 di danno alle unità adiacenti.,Uso: autodestrua-se e cause 50 de dano a unidades adjacentes.
ITEM_SKILLSPLIT_NAME,Разделение Навыка,,Habilidad dividida,Division de compétence,Fertigkeitsteiler,Divisione delle Abilità,Divisor de Habilidades
ITEM_SKILLSPLIT_DESC,Получите временную копию вашей первой пассивной способности в начале каждой битвы.,,Obtiene una copia temporal de la primera habilidad pasiva al inicio de cada combate.,"Au début de chaque combat, vous obtenez temporairement une copie de votre première compétence passive.",Erhalte am Anfang jedes Kampfes eine vorübergehende Kopie deiner ersten Passivfähigkeit.,All'inizio di ogni battaglia ottieni una copia temporanea della tua prima abilità passiva.,Obtenha uma cópia temporária de sua primeira habilidade passiva no início de cada batalha.
ITEM_SKILLSTONE_NAME,Камень Навыка,,Piedra de habilidad,Pierre de compétence,Fertigkeitsstein,Pietra dell'Abilità,Pedra de Habilidade
ITEM_SKILLSTONE_DESC,Заклинания вашего класса стоят -1 ману.,,Los hechizos que coincidan con la clase de esta unidad cuestan -1 de maná.,Les sorts correspondant à votre classe coûtent -1&nbsp;mana.,Zauber deiner Klasse kosten -1&nbsp;Mana.,Gli incantesimi che corrispondono alla tua classe costano -1 mana.,Encantamentos da sua classe custam -1 de mana.
ITEM_SMALLEYE_NAME,Маленький Глаз,,Ojo pequeño,Œil riquiqui,Kleines Auge,Occhio Piccolo,Olho Pequeno
ITEM_SMALLEYE_DESC,"+15% Уклонения.
Ваша базовая атака имеет +10% шанс наложить Страх.",,"+15 % de probabilidad de esquiva.
El ataque básico tiene +10 % de probabilidad de infligir miedo.","Chances d'esquive +15&nbsp;%.
Votre attaque de base a 10&nbsp;% de chances d'infliger Peur.","+15&nbsp;% Ausweichchance.
Dein Grundangriff hat eine +10%ige Wahrscheinlichkeit, Angst zu verursachen.","+15% di probabilità di schivata.
Il tuo attacco base ha un +10% di probabilità di infliggere Paura.","+15% de chance de esquiva.
Seu ataque básico possui +10% de chance de aplicar medo."
ITEM_SNAGGLETOOTH_NAME,Кривой Зуб,,Diente torcido,Dent de travers,Schiefer Zahn,Dente Sporgente,Dente Afiado
ITEM_SNAGGLETOOTH_DESC,Ваша базовая атака накладывает Кровотечение 1.,,El ataque básico inflige 1 de hemorragia.,Votre attaque de base inflige Saignement +1.,Dein Grundangriff verursacht Blutung&nbsp;1.,Il tuo attacco base infligge Sanguinamento 1.,Seu ataque básico aplica sangramento 1.
ITEM_SNAKEEYES_NAME,Змеиные Глаза,,Ojos de serpiente,Yeux de serpent,Einer-Pasch,Occhi di Serpente,Olhos de Cobra
ITEM_SNAKEEYES_DESC,"Пока у вас ровно 2 ОЗ, вы имеете +222 [img:lck].",,"Mientras esta unidad tenga exactamente 2 PS, tiene +222 [img:lck]","Tant que vous avez exactement 2&nbsp;PV, vous bénéficiez de [img:lck] +222.","Wenn du genau 2&nbsp;LP hast, hast du +222&nbsp;[img:lck].","Quando sei esattamente a 2 PS, ricevi +222 alla [img:lck]","Enquanto possuir exatamente 2 PV, obtenha +222 de [img:lck]."
ITEM_SOULJAR_FULL_DESC,"Использование: Призовите призрачную копию {aux_cat_name}.
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Invoca una copia fantasmal de {aux_cat_name}.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: invoque un double spectral de {aux_cat_name}.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Beschwöre einen Geisterklon von {aux_cat_name}.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Evoca una copia fantasma di {aux_cat_name}.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: invoque uma cópia fantasmagórica de {aux_cat_name}.
[s:.7](Um uso por batalha.)[/s]"
ITEM_SOULJAR_DESC,"Когда ваше тело уничтожено, этот предмет возвращается и навсегда получает способность призывать вашу призрачную копию.",,"Al destrozar el cadáver de esta unidad, este objeto se recupera y obtiene para siempre la habilidad de invocar una copia fantasmal.","Quand votre corps est détruit, vous récupérez cet objet qui gagne définitivement la capacité d'invoquer votre double spectral.","Wenn dein Körper zerstört wird, bleibt dieser Gegenstand bestehen und erhält dauerhaft die Fähigkeit, einen Geisterklon von dir zu rufen.","Quando il tuo corpo viene distrutto, quest'oggetto viene recuperato e ottiene permanentemente la capacità di evocare una tua copia fantasma.","Quando seu corpo for destruído, este item é recuperado e concede permanentemente a habilidade de invocar uma cópia fantasmagórica de você."
ITEM_SOULJAR_NAME,Сосуд Душ,,Tarro de almas,Bocal spirituel,Seelenkrug,Barattolo delle Anime,Pote de Alma
ITEM_SOULJAR_FULL_NAME,Сосуд Душ,,Tarro de almas,Bocal spirituel,Seelenkrug,Barattolo delle Anime,Pote de Alma
ITEM_SOYMILK_NAME,Соевое Молоко,,Leche de soja,Lait de soja,Sojamilch,Latte di Soia,Leite de Soja
ITEM_SOYMILK_DESC,"Ваша базовая атака не может наносить больше 1 урона.
Вы можете атаковать 2 лишних раза каждый ход.",,"El ataque básico no puede infligir más de 1 de daño.
Esta unidad puede atacar 2 veces extras cada turno.","Votre attaque de base n'inflige pas plus d'1&nbsp;dégât.
Vous pouvez attaquer 2&nbsp;fois de plus chaque tour.","Dein Grundangriff kann nicht mehr als 1&nbsp;Schaden verursachen.
Du kannst in jedem Zug 2-mal zusätzlich angreifen.","Il tuo attacco base non può infliggere più di 1 danno.
Puoi attaccare 2 volte in più ogni turno.","Seu ataque básico não pode causar mais do que 1 de dano.
Você pode atacar 2 vezes adicionais em cada turno."
ITEM_SPELLBOOK_NAME,Книга Заклинаний,,Libro de hechizos,Vieux grimoire,Zauberbuch,Libro degli Incantesimi,Livro de Encantamentos
ITEM_SPELLBOOK_DESC,Использование: Получите 10 маны и сотворите случайное заклинание Мага как бонусную способность.,,Uso: Obtiene 10 de maná e invoca un hechizo de mago al azar como habilidad de bonificación.,"Utilisation&nbsp;: Mana +10, compétence bonus lançant un sort de mage aléatoire.",Benutzen: Erhalte 10&nbsp;Mana und beschwöre einen zufälligen Magierzauber als Bonusfähigkeit.,Uso: Ottieni 10 mana ed evochi un incantesimo del Mago casuale come abilità bonus.,Uso: obtenha 10 de mana e conjure um encantamento aleatório de mago como habilidade bônus.
